交易日,最后修改时间,最后修改毫秒,最新价,最高价,最低价,今开盘,今收盘,数量,成交金额,申买价一,申买量一,申卖价一,申卖量一,申买价二,申买量二,申卖价二,申卖量二,申买价三,申买量三,申卖价三,申卖量三,申买价四,申买量四,申卖价四,申卖量四,申买价五,申买量五,申卖价五,申卖量五,当日均价,成交笔数
20170327,14:02:45,0,16.27,16.39,16.23,16.26,1.79769e+308,35372970,5.76654e+08,16.27,168694,16.28,39800,16.26,393400,16.29,168001,16.25,504700,16.3,569900,16.24,135398,16.31,216494,16.23,254900,16.32,118100,1.79769e+308,9223372036854775807
20170328,14:31:50,0,16.2,16.33,16.18,16.3,1.79769e+308,26310040,4.27391e+08,16.2,117585,16.21,36900,16.19,374100,16.22,135200,16.18,279672,16.23,116300,16.17,187300,16.24,102400,16.16,242100,16.25,178900,1.79769e+308,9223372036854775807
20170328,14:31:53,0,16.2,16.33,16.18,16.3,1.79769e+308,26310640,4.274e+08,16.2,119885,16.21,36900,16.19,374200,16.22,135200,16.18,279672,16.23,109300,16.17,187300,16.24,102400,16.16,242100,16.25,178900,1.79769e+308,9223372036854775807
20170328,14:31:56,0,16.21,16.33,16.18,16.3,1.79769e+308,26357440,4.28159e+08,16.21,3200,16.22,135200,16.2,119985,16.23,109300,16.19,374200,16.24,102400,16.18,279272,16.25,178900,16.17,187300,16.26,300600,1.79769e+308,9223372036854775807
20170328,14:31:59,0,16.22,16.33,16.18,16.3,1.79769e+308,26368140,4.28332e+08,16.21,500,16.22,129500,16.2,118185,16.23,109300,16.19,374200,16.24,102400,16.18,279272,16.25,178900,16.17,187300,16.26,300600,1.79769e+308,9223372036854775807
20170328,14:32:02,0,16.21,16.33,16.18,16.3,1.79769e+308,26368440,4.28337e+08,16.21,200,16.22,129500,16.2,118585,16.23,109300,16.19,374200,16.24,102400,16.18,279272,16.25,178900,16.17,187300,16.26,300600,1.79769e+308,9223372036854775807
20170328,14:32:05,0,16.22,16.33,16.18,16.3,1.79769e+308,26371040,4.2838e+08,16.21,200,16.22,126900,16.2,118585,16.23,109300,16.19,374400,16.24,102400,16.18,279272,16.25,178900,16.17,187300,16.26,300600,1.79769e+308,9223372036854775807
20170328,14:32:08,0,16.22,16.33,16.18,16.3,1.79769e+308,26371040,4.2838e+08,16.21,10200,16.22,126900,16.2,118585,16.23,109300,16.19,374400,16.24,102400,16.18,279272,16.25,178900,16.17,187300,16.26,300600,1.79769e+308,9223372036854775807
20170328,14:32:11,0,16.21,16.33,16.18,16.3,1.79769e+308,26371140,4.28381e+08,16.21,10100,16.22,126900,16.2,118585,16.23,109300,16.19,373700,16.24,102400,16.18,280272,16.25,178900,16.17,187300,16.26,300600,1.79769e+308,9223372036854775807
20170328,14:32:14,0,16.21,16.33,16.18,16.3,1.79769e+308,26371140,4.28381e+08,16.21,10700,16.22,126900,16.2,119585,16.23,109300,16.19,373700,16.24,102400,16.18,280272,16.25,178900,16.17,187300,16.26,300600,1.79769e+308,9223372036854775807
