交易日,最后修改时间,最后修改毫秒,最新价,最高价,最低价,今开盘,今收盘,数量,成交金额,申买价一,申买量一,申卖价一,申卖量一,申买价二,申买量二,申卖价二,申卖量二,申买价三,申买量三,申卖价三,申卖量三,申买价四,申买量四,申卖价四,申卖量四,申买价五,申买量五,申卖价五,申卖量五,当日均价,成交笔数
20170328,14:31:50,0,8.73,8.75,8.69,8.75,1.79769e+308,2885266,2.5139e+07,8.73,10772,8.74,2000,8.72,39200,8.75,44364,8.71,49800,8.76,57868,8.7,66800,8.77,45400,8.69,72032,8.78,61200,1.79769e+308,9223372036854775807
20170328,14:31:59,0,8.73,8.75,8.69,8.75,1.79769e+308,2885266,2.5139e+07,8.73,10772,8.74,2000,8.72,39200,8.75,44364,8.71,54800,8.76,57868,8.7,66800,8.77,45400,8.69,72032,8.78,61200,1.79769e+308,9223372036854775807
20170328,14:32:05,0,8.73,8.75,8.69,8.75,1.79769e+308,2885266,2.5139e+07,8.73,14772,8.74,2000,8.72,39200,8.75,44364,8.71,54800,8.76,57868,8.7,66800,8.77,45400,8.69,72032,8.78,61200,1.79769e+308,9223372036854775807
20170328,14:32:14,0,8.73,8.75,8.69,8.75,1.79769e+308,2888530,2.51675e+07,8.73,11508,8.74,2000,8.72,39200,8.75,44364,8.71,54800,8.76,57868,8.7,66800,8.77,45400,8.69,72032,8.78,61200,1.79769e+308,9223372036854775807
