交易日,最后修改时间,最后修改毫秒,最新价,最高价,最低价,今开盘,今收盘,数量,成交金额,申买价一,申买量一,申卖价一,申卖量一,申买价二,申买量二,申卖价二,申卖量二,申买价三,申买量三,申卖价三,申卖量三,申买价四,申买量四,申卖价四,申卖量四,申买价五,申买量五,申卖价五,申卖量五,当日均价,成交笔数
20170328,14:31:50,0,19.85,19.95,19.81,19.93,1.79769e+308,685771,1.36201e+07,19.85,3400,19.86,2800,19.84,7800,19.89,9800,19.83,11100,19.9,22600,19.82,10729,19.91,1300,19.81,9700,19.92,2000,1.79769e+308,9223372036854775807
20170328,14:31:59,0,19.85,19.95,19.81,19.93,1.79769e+308,686771,1.364e+07,19.85,2400,19.86,2800,19.84,7800,19.89,9800,19.83,11100,19.9,22600,19.82,10729,19.91,1300,19.81,9700,19.92,2000,1.79769e+308,9223372036854775807
20170328,14:32:02,0,19.85,19.95,19.81,19.93,1.79769e+308,688871,1.36817e+07,19.85,300,19.86,2800,19.84,7800,19.89,9800,19.83,11100,19.9,22600,19.82,10729,19.91,1300,19.81,9700,19.92,2000,1.79769e+308,9223372036854775807
20170328,14:32:11,0,19.85,19.95,19.81,19.93,1.79769e+308,688971,1.36837e+07,19.85,200,19.86,2800,19.84,7800,19.89,9800,19.83,11100,19.9,22600,19.82,10729,19.91,1300,19.81,9700,19.92,2000,1.79769e+308,9223372036854775807
20170328,14:32:14,0,19.85,19.95,19.81,19.93,1.79769e+308,689171,1.36876e+07,19.84,7800,19.85,200,19.83,11100,19.86,2800,19.82,10729,19.89,9800,19.81,9700,19.9,22600,19.8,11200,19.91,1300,1.79769e+308,9223372036854775807
