交易日,最后修改时间,最后修改毫秒,最新价,最高价,最低价,今开盘,今收盘,数量,成交金额,申买价一,申买量一,申卖价一,申卖量一,申买价二,申买量二,申卖价二,申卖量二,申买价三,申买量三,申卖价三,申卖量三,申买价四,申买量四,申卖价四,申卖量四,申买价五,申买量五,申卖价五,申卖量五,当日均价,成交笔数
20170328,14:31:53,0,28.04,28.28,27.83,28.05,1.79769e+308,9761389,2.74194e+08,28.04,6100,28.05,2832,28.03,600,28.07,10000,28.02,31600,28.08,6791,28.01,14600,28.09,36685,28,24700,28.1,33653,1.79769e+308,9223372036854775807
20170328,14:31:56,0,28.05,28.28,27.83,28.05,1.79769e+308,9761589,2.742e+08,28.04,6100,28.05,2632,28.03,600,28.07,10000,28.02,31600,28.08,6791,28.01,14600,28.09,37385,28,24600,28.1,33653,1.79769e+308,9223372036854775807
20170328,14:31:59,0,28.05,28.28,27.83,28.05,1.79769e+308,9764189,2.74272e+08,28.04,6100,28.05,32,28.03,600,28.07,10000,28.02,31600,28.08,6791,28.01,14600,28.09,37385,28,24600,28.1,33653,1.79769e+308,9223372036854775807
20170328,14:32:02,0,28.05,28.28,27.83,28.05,1.79769e+308,9764521,2.74282e+08,28.05,1368,28.07,10000,28.04,5800,28.08,6791,28.03,600,28.09,37385,28.02,31600,28.1,33653,28.01,14600,28.11,5100,1.79769e+308,9223372036854775807
20170328,14:32:05,0,28.05,28.28,27.83,28.05,1.79769e+308,9764521,2.74282e+08,28.05,1368,28.07,10000,28.04,10100,28.08,6791,28.03,1800,28.09,37385,28.02,31800,28.1,33653,28.01,14600,28.11,5100,1.79769e+308,9223372036854775807
20170328,14:32:08,0,28.05,28.28,27.83,28.05,1.79769e+308,9764521,2.74282e+08,28.05,1368,28.07,10000,28.04,10200,28.08,6791,28.03,1800,28.09,37385,28.02,31800,28.1,33653,28.01,14600,28.11,5100,1.79769e+308,9223372036854775807
20170328,14:32:11,0,28.05,28.28,27.83,28.05,1.79769e+308,9764521,2.74282e+08,28.05,2368,28.07,10000,28.04,10200,28.08,6791,28.03,1800,28.09,37385,28.02,31800,28.1,33653,28.01,14600,28.11,5100,1.79769e+308,9223372036854775807
