交易日,最后修改时间,最后修改毫秒,最新价,最高价,最低价,今开盘,今收盘,数量,成交金额,申买价一,申买量一,申卖价一,申卖量一,申买价二,申买量二,申卖价二,申卖量二,申买价三,申买量三,申卖价三,申卖量三,申买价四,申买量四,申卖价四,申卖量四,申买价五,申买量五,申卖价五,申卖量五,当日均价,成交笔数
20170327,14:02:45,0,7.58,7.71,7.53,7.65,1.79769e+308,110622965,8.41591e+08,7.58,747838,7.59,104700,7.57,1489280,7.6,376364,7.56,1534150,7.61,112200,7.55,2800100,7.62,318970,7.54,1044300,7.63,487870,1.79769e+308,9223372036854775807
20170328,14:31:50,0,7.48,7.54,7.3,7.52,1.79769e+308,164274767,1.21909e+09,7.48,416600,7.49,321900,7.47,258300,7.5,723300,7.46,137200,7.51,568845,7.45,636300,7.52,903640,7.44,168100,7.53,1383500,1.79769e+308,9223372036854775807
20170328,14:31:53,0,7.49,7.54,7.3,7.52,1.79769e+308,164280867,1.21914e+09,7.48,411400,7.49,331000,7.47,258300,7.5,723300,7.46,137200,7.51,572445,7.45,634300,7.52,903640,7.44,168100,7.53,1383500,1.79769e+308,9223372036854775807
20170328,14:31:56,0,7.49,7.54,7.3,7.52,1.79769e+308,164281167,1.21914e+09,7.48,411400,7.49,334000,7.47,258300,7.5,732300,7.46,137200,7.51,571945,7.45,634300,7.52,903640,7.44,168100,7.53,1383500,1.79769e+308,9223372036854775807
20170328,14:31:59,0,7.49,7.54,7.3,7.52,1.79769e+308,164295667,1.21925e+09,7.48,401400,7.49,340300,7.47,258300,7.5,735000,7.46,127200,7.51,571945,7.45,634300,7.52,902340,7.44,168100,7.53,1389900,1.79769e+308,9223372036854775807
20170328,14:32:02,0,7.48,7.54,7.3,7.52,1.79769e+308,164296267,1.21926e+09,7.48,400900,7.49,343700,7.47,258300,7.5,735000,7.46,127200,7.51,570945,7.45,634500,7.52,902940,7.44,168400,7.53,1389200,1.79769e+308,9223372036854775807
20170328,14:32:05,0,7.48,7.54,7.3,7.52,1.79769e+308,164308367,1.21935e+09,7.48,400600,7.49,338800,7.47,258300,7.5,738800,7.46,127200,7.51,565945,7.45,634500,7.52,902940,7.44,168400,7.53,1389200,1.79769e+308,9223372036854775807
20170328,14:32:08,0,7.48,7.54,7.3,7.52,1.79769e+308,164714567,1.22238e+09,7.47,258300,7.48,19600,7.46,127200,7.49,338700,7.45,642300,7.5,738400,7.44,168400,7.51,565645,7.43,833300,7.52,902940,1.79769e+308,9223372036854775807
20170328,14:32:11,0,7.48,7.54,7.3,7.52,1.79769e+308,164716967,1.2224e+09,7.47,258100,7.48,199200,7.46,127200,7.49,341000,7.45,642300,7.5,711200,7.44,168400,7.51,565645,7.43,833300,7.52,902940,1.79769e+308,9223372036854775807
20170328,14:32:14,0,7.48,7.54,7.3,7.52,1.79769e+308,164716967,1.2224e+09,7.47,258500,7.48,220100,7.46,127200,7.49,342200,7.45,642300,7.5,707200,7.44,168400,7.51,465645,7.43,833300,7.52,902740,1.79769e+308,9223372036854775807
