交易日,最后修改时间,最后修改毫秒,最新价,最高价,最低价,今开盘,今收盘,数量,成交金额,申买价一,申买量一,申卖价一,申卖量一,申买价二,申买量二,申卖价二,申卖量二,申买价三,申买量三,申卖价三,申卖量三,申买价四,申买量四,申卖价四,申卖量四,申买价五,申买量五,申卖价五,申卖量五,当日均价,成交笔数
20170328,14:31:53,0,9.49,9.57,9.43,9.56,1.79769e+308,4792401,4.54543e+07,9.48,1000,9.49,48432,9.47,23700,9.5,40600,9.46,31000,9.51,18300,9.45,45400,9.52,31000,9.44,36600,9.53,24200,1.79769e+308,9223372036854775807
20170328,14:31:56,0,9.49,9.57,9.43,9.56,1.79769e+308,4792401,4.54543e+07,9.48,1000,9.49,48432,9.47,23800,9.5,40600,9.46,31000,9.51,18300,9.45,45400,9.52,31000,9.44,36600,9.53,24200,1.79769e+308,9223372036854775807
20170328,14:31:59,0,9.49,9.57,9.43,9.56,1.79769e+308,4792401,4.54543e+07,9.48,1000,9.49,48432,9.47,23800,9.5,45600,9.46,31000,9.51,18300,9.45,45400,9.52,31000,9.44,36600,9.53,24200,1.79769e+308,9223372036854775807
20170328,14:32:02,0,9.49,9.57,9.43,9.56,1.79769e+308,4792401,4.54543e+07,9.48,2000,9.49,108432,9.47,23800,9.5,45300,9.46,31000,9.51,18300,9.45,45400,9.52,31000,9.44,36600,9.53,24200,1.79769e+308,9223372036854775807
20170328,14:32:05,0,9.49,9.57,9.43,9.56,1.79769e+308,4792401,4.54543e+07,9.48,2000,9.49,108432,9.47,24100,9.5,45300,9.46,31000,9.51,18300,9.45,45400,9.52,31000,9.44,36600,9.53,24900,1.79769e+308,9223372036854775807
20170328,14:32:11,0,9.49,9.57,9.43,9.56,1.79769e+308,4812401,4.56441e+07,9.48,2000,9.49,88432,9.47,24100,9.5,45300,9.46,31000,9.51,18300,9.45,45400,9.52,31000,9.44,36600,9.53,24900,1.79769e+308,9223372036854775807
