交易日,最后修改时间,最后修改毫秒,最新价,最高价,最低价,今开盘,今收盘,数量,成交金额,申买价一,申买量一,申卖价一,申卖量一,申买价二,申买量二,申卖价二,申卖量二,申买价三,申买量三,申卖价三,申卖量三,申买价四,申买量四,申卖价四,申卖量四,申买价五,申买量五,申卖价五,申卖量五,当日均价,成交笔数
20170327,14:02:45,0,9.68,9.74,9.6,9.67,1.79769e+308,25814954,2.49794e+08,9.67,80000,9.68,4400,9.65,268250,9.69,456762,9.64,108300,9.7,464910,9.63,232300,9.71,205900,9.62,309900,9.72,371700,1.79769e+308,9223372036854775807
20170328,14:31:50,0,9.61,9.7,9.55,9.7,1.79769e+308,29702273,2.8501e+08,9.6,201241,9.61,176000,9.59,163600,9.62,165100,9.58,263249,9.63,139400,9.57,533694,9.64,181600,9.56,317900,9.65,387017,1.79769e+308,9223372036854775807
20170328,14:31:53,0,9.61,9.7,9.55,9.7,1.79769e+308,29703273,2.85019e+08,9.6,201041,9.61,175000,9.59,163600,9.62,164900,9.58,263249,9.63,139400,9.57,533694,9.64,181600,9.56,317900,9.65,387017,1.79769e+308,9223372036854775807
20170328,14:31:56,0,9.61,9.7,9.55,9.7,1.79769e+308,29703773,2.85024e+08,9.6,202341,9.61,174800,9.59,163600,9.62,164900,9.58,263249,9.63,139400,9.57,533694,9.64,181600,9.56,317900,9.65,387017,1.79769e+308,9223372036854775807
20170328,14:31:59,0,9.61,9.7,9.55,9.7,1.79769e+308,29704273,2.85029e+08,9.6,202341,9.61,174300,9.59,163600,9.62,164900,9.58,263249,9.63,139400,9.57,533694,9.64,181600,9.56,317900,9.65,387017,1.79769e+308,9223372036854775807
20170328,14:32:02,0,9.61,9.7,9.55,9.7,1.79769e+308,29707273,2.85058e+08,9.6,202341,9.61,171300,9.59,163600,9.62,164900,9.58,263249,9.63,139400,9.57,533694,9.64,181600,9.56,318600,9.65,387017,1.79769e+308,9223372036854775807
20170328,14:32:05,0,9.61,9.7,9.55,9.7,1.79769e+308,29707273,2.85058e+08,9.6,202341,9.61,172300,9.59,163600,9.62,164900,9.58,263249,9.63,139400,9.57,533694,9.64,181600,9.56,318600,9.65,387017,1.79769e+308,9223372036854775807
20170328,14:32:08,0,9.61,9.7,9.55,9.7,1.79769e+308,29707273,2.85058e+08,9.6,202341,9.61,172300,9.59,163600,9.62,167100,9.58,263249,9.63,139400,9.57,533694,9.64,181600,9.56,318600,9.65,387317,1.79769e+308,9223372036854775807
20170328,14:32:11,0,9.6,9.7,9.55,9.7,1.79769e+308,29707373,2.85059e+08,9.6,202241,9.61,172300,9.59,163600,9.62,167100,9.58,263249,9.63,139400,9.57,533694,9.64,181600,9.56,318600,9.65,387317,1.79769e+308,9223372036854775807
20170328,14:32:14,0,9.6,9.7,9.55,9.7,1.79769e+308,29719073,2.85171e+08,9.6,190641,9.61,172200,9.59,163600,9.62,167100,9.58,263249,9.63,139400,9.57,533694,9.64,181600,9.56,318600,9.65,387317,1.79769e+308,9223372036854775807
