交易日,最后修改时间,最后修改毫秒,最新价,最高价,最低价,今开盘,今收盘,数量,成交金额,申买价一,申买量一,申卖价一,申卖量一,申买价二,申买量二,申卖价二,申卖量二,申买价三,申买量三,申卖价三,申卖量三,申买价四,申买量四,申卖价四,申卖量四,申买价五,申买量五,申卖价五,申卖量五,当日均价,成交笔数
20170327,14:02:45,0,6.45,6.58,6.44,6.57,1.79769e+308,51663649,3.36586e+08,6.45,111285,6.46,492585,6.44,718717,6.47,566124,6.43,943600,6.48,1061781,6.42,838300,6.49,56631,6.41,822200,6.5,594112,1.79769e+308,9223372036854775807
20170328,14:31:50,0,6.48,6.49,6.43,6.46,1.79769e+308,29705758,1.91749e+08,6.48,68757,6.49,427385,6.47,416901,6.5,696527,6.46,1179256,6.51,354860,6.45,1543300,6.52,417130,6.44,745871,6.53,249500,1.79769e+308,9223372036854775807
20170328,14:31:53,0,6.49,6.49,6.43,6.46,1.79769e+308,29717558,1.91826e+08,6.48,69757,6.49,401285,6.47,418901,6.5,696527,6.46,1179256,6.51,354860,6.45,1543300,6.52,417130,6.44,745871,6.53,249500,1.79769e+308,9223372036854775807
20170328,14:31:56,0,6.49,6.49,6.43,6.46,1.79769e+308,29717558,1.91826e+08,6.48,69957,6.49,401285,6.47,418901,6.5,696527,6.46,1179256,6.51,358860,6.45,1543300,6.52,417130,6.44,745871,6.53,249500,1.79769e+308,9223372036854775807
20170328,14:31:59,0,6.48,6.49,6.43,6.46,1.79769e+308,29736158,1.91946e+08,6.48,53357,6.49,401285,6.47,415001,6.5,695627,6.46,1179256,6.51,358860,6.45,1543300,6.52,417130,6.44,745871,6.53,253500,1.79769e+308,9223372036854775807
20170328,14:32:02,0,6.48,6.49,6.43,6.46,1.79769e+308,29751258,1.92044e+08,6.48,44557,6.49,396785,6.47,423401,6.5,694627,6.46,1179256,6.51,358860,6.45,1543300,6.52,417130,6.44,745871,6.53,250500,1.79769e+308,9223372036854775807
20170328,14:32:05,0,6.49,6.49,6.43,6.46,1.79769e+308,29753858,1.92061e+08,6.48,45557,6.49,394185,6.47,431101,6.5,694627,6.46,1179256,6.51,358860,6.45,1543300,6.52,417130,6.44,745871,6.53,250500,1.79769e+308,9223372036854775807
20170328,14:32:08,0,6.48,6.49,6.43,6.46,1.79769e+308,29755858,1.92074e+08,6.48,43557,6.49,394385,6.47,431101,6.5,694627,6.46,1179256,6.51,358860,6.45,1543300,6.52,417130,6.44,745871,6.53,250500,1.79769e+308,9223372036854775807
20170328,14:32:11,0,6.49,6.49,6.43,6.46,1.79769e+308,29756358,1.92077e+08,6.48,53557,6.49,394885,6.47,431101,6.5,694627,6.46,1179256,6.51,358860,6.45,1543300,6.52,417130,6.44,745871,6.53,250500,1.79769e+308,9223372036854775807
20170328,14:32:14,0,6.49,6.49,6.43,6.46,1.79769e+308,29768158,1.92154e+08,6.48,49457,6.49,391085,6.47,433101,6.5,696627,6.46,1179256,6.51,358860,6.45,1542000,6.52,417130,6.44,745871,6.53,250500,1.79769e+308,9223372036854775807
