交易日,最后修改时间,最后修改毫秒,最新价,最高价,最低价,今开盘,今收盘,数量,成交金额,申买价一,申买量一,申卖价一,申卖量一,申买价二,申买量二,申卖价二,申卖量二,申买价三,申买量三,申卖价三,申卖量三,申买价四,申买量四,申卖价四,申卖量四,申买价五,申买量五,申卖价五,申卖量五,当日均价,成交笔数
20170328,14:31:50,0,16.89,17.08,16.6,16.92,1.79769e+308,2942196,4.95002e+07,16.88,37300,16.89,3200,16.87,1200,16.9,33000,16.86,1300,16.91,500,16.85,6400,16.92,6400,16.84,6700,16.93,6500,1.79769e+308,9223372036854775807
20170328,14:31:53,0,16.89,17.08,16.6,16.92,1.79769e+308,2942396,4.95035e+07,16.88,37300,16.89,3000,16.87,1200,16.9,33000,16.86,1300,16.91,500,16.85,6400,16.92,6400,16.84,6700,16.93,6500,1.79769e+308,9223372036854775807
20170328,14:31:59,0,16.89,17.08,16.6,16.92,1.79769e+308,2945796,4.9561e+07,16.89,600,16.9,33000,16.88,37300,16.91,500,16.87,1200,16.92,6400,16.86,1300,16.93,6500,16.85,6400,16.95,2500,1.79769e+308,9223372036854775807
20170328,14:32:05,0,16.89,17.08,16.6,16.92,1.79769e+308,2945796,4.9561e+07,16.89,1600,16.9,33000,16.88,37500,16.91,500,16.87,1200,16.92,6400,16.86,1300,16.93,6500,16.85,6400,16.95,2500,1.79769e+308,9223372036854775807
20170328,14:32:11,0,16.9,17.08,16.6,16.92,1.79769e+308,2975796,5.0068e+07,16.89,1600,16.9,3000,16.88,37500,16.91,500,16.87,1200,16.92,6400,16.86,1300,16.93,6500,16.85,6400,16.95,2500,1.79769e+308,9223372036854775807
