交易日,最后修改时间,最后修改毫秒,最新价,最高价,最低价,今开盘,今收盘,数量,成交金额,申买价一,申买量一,申卖价一,申卖量一,申买价二,申买量二,申卖价二,申卖量二,申买价三,申买量三,申卖价三,申卖量三,申买价四,申买量四,申卖价四,申卖量四,申买价五,申买量五,申卖价五,申卖量五,当日均价,成交笔数
20170328,14:31:53,0,14.38,14.43,14.33,14.38,1.79769e+308,3451505,4.96443e+07,14.37,24800,14.38,1900,14.36,7500,14.39,28207,14.35,27038,14.4,55000,14.34,48400,14.41,15300,14.33,44236,14.42,29994,1.79769e+308,9223372036854775807
20170328,14:31:56,0,14.38,14.43,14.33,14.38,1.79769e+308,3451505,4.96443e+07,14.37,24800,14.38,1900,14.36,7500,14.39,29907,14.35,27038,14.4,55000,14.34,48400,14.41,15300,14.33,44236,14.42,29994,1.79769e+308,9223372036854775807
20170328,14:31:59,0,14.38,14.43,14.33,14.38,1.79769e+308,3453405,4.96716e+07,14.38,6900,14.39,29907,14.37,24800,14.4,55000,14.36,7500,14.41,15300,14.35,27038,14.42,29994,14.34,48400,14.43,33500,1.79769e+308,9223372036854775807
20170328,14:32:08,0,14.39,14.43,14.33,14.38,1.79769e+308,3454005,4.96802e+07,14.38,6900,14.39,29307,14.37,24800,14.4,54800,14.36,7500,14.41,15300,14.35,27038,14.42,29994,14.34,48400,14.43,33500,1.79769e+308,9223372036854775807
20170328,14:32:14,0,14.39,14.43,14.33,14.38,1.79769e+308,3454005,4.96802e+07,14.38,7700,14.39,29307,14.37,24800,14.4,54800,14.36,7500,14.41,15300,14.35,27038,14.42,29994,14.34,48400,14.43,33500,1.79769e+308,9223372036854775807
