交易日,最后修改时间,最后修改毫秒,最新价,最高价,最低价,今开盘,今收盘,数量,成交金额,申买价一,申买量一,申卖价一,申卖量一,申买价二,申买量二,申卖价二,申卖量二,申买价三,申买量三,申卖价三,申卖量三,申买价四,申买量四,申卖价四,申卖量四,申买价五,申买量五,申卖价五,申卖量五,当日均价,成交笔数
20170328,14:31:59,0,7.81,7.88,7.78,7.84,1.79769e+308,8683579,6.79086e+07,7.8,32488,7.81,25400,7.79,134259,7.82,27800,7.78,345700,7.83,58400,7.77,92800,7.84,180300,7.76,137400,7.85,341800,1.79769e+308,9223372036854775807
20170328,14:32:02,0,7.81,7.88,7.78,7.84,1.79769e+308,8683579,6.79086e+07,7.8,32488,7.81,25400,7.79,134259,7.82,27800,7.78,345700,7.83,58400,7.77,92800,7.84,180300,7.76,138300,7.85,342400,1.79769e+308,9223372036854775807
20170328,14:32:05,0,7.81,7.88,7.78,7.84,1.79769e+308,8683579,6.79086e+07,7.8,32488,7.81,25400,7.79,131400,7.82,27800,7.78,345700,7.83,58400,7.77,92800,7.84,180300,7.76,138300,7.85,342400,1.79769e+308,9223372036854775807
20170328,14:32:08,0,7.81,7.88,7.78,7.84,1.79769e+308,8683579,6.79086e+07,7.8,35488,7.81,25400,7.79,131400,7.82,27800,7.78,345700,7.83,58400,7.77,92800,7.84,180300,7.76,138300,7.85,342400,1.79769e+308,9223372036854775807
20170328,14:32:14,0,7.81,7.88,7.78,7.84,1.79769e+308,8683579,6.79086e+07,7.8,35488,7.81,25400,7.79,131400,7.82,27800,7.78,345700,7.83,58400,7.77,92800,7.84,180300,7.76,137800,7.85,342400,1.79769e+308,9223372036854775807
